Tag	Counts
tv	1502
variety	745
korean dramas	718
pann	696
snsd	560
nonentertainment	397
exo	389
big bang	298
fx	260
t-ara	245
news	244
aoa	230
2ne1	230
suzy	230
kara	221
iu	220
hollywood	213
instiz	211
sulli	207
sistar	205
super junior	194
g-dragon	185
miss a	179
exid	167
wonder girls	164
hyuna	162
jessica	149
army	142
secret	140
a pink	140
we got married	131
b2st	131
4minute	127
twice	124
shinee	116
red velvet	116
girlfriend	114
ioi	114
2pm	112
jyj	111
girls day	111
taeyeon	108
seolhyun	108
cl	107
rain	106
infinite	105
krystal	102
positive dump	100
psy	98
LOL	96
after school	96
hyosung	93
winner	93
hani	90
media play	90
block b	90
idol actors	87
lee byung hun	83
yang hyun suk	83
tiffany	80
running man	78
yg entertainment	78
kim hyun joong	76
park jin young	75
cnblue	75
ikon	73
dispatch	72
hyeri	72
mblaq	71
yoona	71
kim tae hee	70
produce 101	68
won bin	66
lee hi	65
hyorin	65
crayon pop	65
girl's day	64
sooyoung	62
park bom	62
goo hara	62
tvxq	61
b1a4	60
zico	60
yg	59
wtf	58
ailee	57
infinity challenge	56
brown eyed girls	56
radio star	56
choiza	55
seungri	55
bts	54
lee joon	53
lee hyori	53
kim soo hyun	53
naeun	53
top	52
rainbow	52
sunye	52
sm entertainment	50
rumor mill	50
boa	50
yuri	50
taeyang	50
music bank	49
nana	48
sunhwa	48
soyu	48
luna	48
gain	48
telzone	47
park shin hye	47
lee min ho	47
taemin	46
hyunseung	46
cheese in the trap	46
baekhyun	46
nine muses	46
park yoochun	45
junsu	45
eunji	45
lee min jung	45
lee seung gi	45
inkigayo	44
sohee	44
jyp entertainment	44
black pink	44
victoria	43
where are you going dad	43
se7en	43
seohyun	43
on the charts	42
dara	42
dia	41
lovelyz	41
kris	41
lee yeon hee	41
tzuyu	40
jonghyun	40
tao	40
jun ji hyun	39
hyun bin	39
hara	39
nichkhun	39
song ji hyo	39
jaejoong	38
song hye gyo	38
oh yeon seo	37
zea	37
sm	37
choa	37
ladies code	37
mamamoo	37
eunhyuk	37
unpretty rap star 2	37
sunmi	37
park shi hoo	36
leeteuk	36
fnc entertainment	36
hwayoung	36
jiyoung	35
jiyeon	35
jay park	35
got7	35
jung chaeyeon	35
seungyeon	35
minzy	35
henry	34
sponsors	34
teen top	34
jimin	34
youngji	34
we got married 4	34
yoo jae suk	34
kwanghee	34
kahi	34
shinhwa	34
scandals	33
amber	33
lee jong suk	33
sunny	33
mask best singer	32
vixx	32
yoon eun hye	32
kai	32
nate pann	32
junhyung	32
clara	32
stellar	32
luhan	31
hyoyeon	31
yunho	31
chanyeol	31
akdong musician	31
yeeun	31
jrm	31
hyomin	31
fei	31
kang dong won	31
show me the money 4	31
kang min kyung	31
minah	30
college	30
goo hye sun	30
music core	30
reply 1988	30
jyp	29
lizzy	29
nicole	29
yg girl group	29
mnet	29
uee	29
taecyeon	29
jessi	29
kyuhyun	28
ilbe	28
real men	28
han ye seul	27
bora	27
soyeon	27
yoobin	27
nam tae hyun	27
kang ho dong	27
snl korea	27
mizuhara kiko	26
yewon	26
u-kiss	26
cosmic girls	26
davichi	26
dal shabet	26
heechul	26
nct	26
bae yong joon	26
park soo jin	26
song joong ki	25
you who came from the stars	25
articles board	25
btob	25
choi siwon	25
jang dong min	25
busker busker	25
movies	24
bap	24
eunjung	24
gary	24
sungmin	24
korean movies	24
cube	24
ft island	24
miss korea	23
bobby	23
sewol ferry	23
iac	23
yoo seung ok	23
jo in sung	23
kangin	23
changmin	22
superman	22
epik high	22
taetiseo	22
mama	22
sojin	22
cao lu	22
kim woo bin	22
min	22
mir	22
abnormal summit	21
yonghwa	21
yura	21
jun somi	21
yoochun	21
fiestar	21
lay	20
2am	20
do	20
descendants of the sun	20
the heirs	20
seo taiji	20
clc	20
oh my girl	20
minho	20
hwang jung eum	20
roommate	20
producer	20
kyungri	20
song minho	20
orange caramel	20
k-pop star 2	20
kim kwang soo	19
the best lee soon shin	19
l	19
jaekyung	19
ga-in	19
jia	19
jung yonghwa	19
spica	19
lee hongki	19
yg boy group	19
ns yoonji	19
kim heechul	19
mc mong	19
show champion	18
sm rookies	18
sasaeng fans	18
seo in guk	18
hallyu	18
bom	18
reply 1994	18
dasom	18
core contents media	18
lee na young	18
seventeen	18
kim so eun	18
dongho	18
moon geun young	17
park bogum	17
2015 mama	17
joo won	17
acting idols	17
brave brothers	17
kang seung yoon	17
song seung hun	17
sistar19	17
irene	17
seo jisoo	17
i hear your voice	17
jung hyung don	17
m countdown	17
sunggyu	17
beyonce	17
lee guk joo	17
jung woo sung	17
gyuri	17
kim yoo jung	17
jo kwon	17
sajaegi	17
society	17
yoo seung ho	17
jang geun suk	17
justin bieber	17
so ji sub	16
gentleman	16
juniel	16
han hyo joo	16
gna	16
go ara	16
iris 2	16
girl groups	16
hyelim	16
ryu jun yeol	16
sixteen	16
solji	16
tablo	16
tvn	16
lee soo man	16
simon d	16
kim sa eun	16
mib	16
that winter	16
moon lovers	16
shindong	15
thunder	15
reply 1997	15
school 2013	15
lee jang woo	15
b team	15
min hyo rin	15
billboard	15
lee jin wook	15
park han byul	15
ivy	15
boram	15
lee da hae	15
tyler kwon	15
north korea	15
lee dong gun	15
unpretty rap star	15
kang sora	15
go jun hee	15
park myung soo	15
umji	15
onew	15
ahn jae hyun	15
ha ji won	15
park hae jin	15
myname	14
shinbi	14
sungjae	14
miranda kerr	14
jieun	14
weekly idol	14
