Word	Counts
ㅋ	118564
the	97815
to	81218
s	73202
a	69999
I	63707
and	56939
of	48214
that	45136
it	40212
t	39523
is	36913
her	33506
in	33194
she	32791
they	32767
for	30839
like	28451
but	25976
so	24941
you	24709
on	24271
this	24125
with	24122
he	23203
was	22382
be	20310
ㅠ	19546
are	19191
all	18093
their	17836
just	15773
as	14922
not	14586
at	14391
up	14075
have	13986
re	13918
his	13490
them	12665
can	12504
about	12174
even	11777
She	11529
out	11376
who	10925
if	10897
don	10822
really	10661
The	10625
an	10012
think	9996
has	9857
him	9826
It	9666
how	9610
get	9573
what	9531
because	9525
when	9239
too	8999
now	8864
They	8248
more	8147
do	8027
m	7963
your	7658
going	7631
from	7341
or	7286
ve	7252
one	7250
only	7226
He	7097
people	6873
good	6680
would	6641
why	6451
were	6390
know	6253
been	6242
no	6233
time	6131
there	6125
will	5901
group	5817
me	5772
being	5732
pretty	5726
had	5677
than	5651
looks	5595
other	5566
off	5564
by	5517
What	5364
song	5357
still	5312
well	5307
fans	5271
look	5206
much	5190
make	5149
see	5022
d	4938
should	4936
Lee	4810
go	4747
So	4733
show	4712
did	4630
we	4579
doesn	4565
never	4465
over	4449
ll	4402
right	4393
got	4374
always	4358
acting	4357
back	4327
better	4276
my	4248
after	4232
You	4207
This	4194
want	4180
any	4134
Why	4116
into	4080
way	4061
Kim	4031
If	3908
hard	3897
bad	3861
feel	3830
A	3826
SM	3787
already	3715
didn	3696
face	3691
drama	3684
hate	3630
lot	3630
first	3593
some	3481
members	3465
then	3461
own	3413
getting	3386
such	3254
something	3251
hope	3240
years	3174
since	3142
while	3131
Park	3117
these	3103
could	3097
said	3095
work	3063
1	2990
There	2990
money	2949
does	2948
say	2852
life	2845
Korea	2815
YG	2806
year	2800
sure	2784
made	2781
idols	2780
thought	2778
fan	2778
girl	2767
songs	2766
actually	2751
best	2740
How	2707
someone	2690
many	2669
doing	2669
before	2665
end	2621
great	2550
media	2549
image	2541
anything	2524
two	2513
put	2490
public	2490
take	2484
around	2478
isn	2476
down	2466
where	2457
saying	2451
Her	2442
long	2432
same	2429
dating	2425
love	2412
Hyun	2410
makes	2408
Just	2401
idol	2399
nothing	2377
music	2360
And	2356
won	2352
popular	2339
need	2334
without	2311
Jung	2311
top	2301
our	2273
company	2264
Korean	2250
EXO	2225
probably	2222
kids	2198
another	2194
must	2190
seems	2176
come	2176
celebrity	2170
tsk	2107
looking	2099
new	2087
Even	2071
Suzy	2057
woman	2052
wonder	2035
again	2033
once	2010
That	1975
through	1970
wrong	1958
let	1957
pictures	1945
live	1944
also	1942
name	1942
groups	1936
man	1932
amazing	1923
enough	1896
article	1893
left	1888
those	1886
album	1882
celebrities	1877
trying	1871
used	1862
things	1854
Wow	1848
day	1827
agency	1827
both	1825
everyone	1820
person	1819
daebak	1814
Soo	1809
shows	1805
picture	1801
care	1800
most	1798
Don	1790
play	1789
hit	1771
gets	1766
find	1751
We	1750
member	1750
debut	1745
Bang	1718
Young	1716
Is	1705
give	1692
leave	1692
But	1687
us	1684
IU	1683
done	1674
singing	1673
stop	1668
big	1665
body	1663
stage	1662
needs	1656
ever	1656
No	1655
everything	1654
TV	1652
Big	1645
yet	1644
real	1642
matter	1642
please	1641
though	1633
least	1630
As	1625
seeing	1621
singer	1620
Jin	1614
every	1598
keep	1597
SNSD	1595
old	1594
watch	1592
comeback	1574
Min	1572
Can	1567
watching	1548
women	1547
female	1544
went	1537
Please	1531
JYP	1525
next	1520
different	1520
country	1517
scandal	1508
anyone	1504
concept	1496
comments	1494
able	1491
school	1490
ㅡㅡ	1485
remember	1466
away	1461
tell	1457
act	1456
guess	1453
anymore	1451
Yoo	1447
saw	1446
bit	1445
last	1431
making	1429
seem	1428
wasn	1424
age	1420
happy	1417
rest	1412
Suk	1403
Jun	1398
here	1393
Their	1392
looked	1387
point	1383
cute	1382
world	1380
instead	1380
In	1378
today	1369
days	1362
together	1350
All	1350
until	1347
having	1345
Not	1343
seriously	1334
3	1331
win	1322
true	1320
10	1320
high	1315
honestly	1310
ㅜㅜ	1299
reason	1298
bet	1293
forward	1288
Hee	1284
kid	1280
Ji	1280
Hul	1275
call	1274
understand	1272
believe	1263
herself	1246
thing	1246
under	1245
weight	1243
wouldn	1242
married	1239
Song	1237
industry	1230
sexy	1226
When	1218
young	1217
anyway	1214
2	1196
Sulli	1194
three	1194
articles	1191
which	1189
fun	1184
men	1183
male	1175
broadcast	1170
Do	1170
surgery	1165
weird	1165
talent	1163
either	1156
each	1150
definitely	1147
T	1146
Who	1143
past	1142
aren	1140
ㅎㅎ	1135
use	1133
Chinese	1132
nice	1132
handsome	1131
few	1119
else	1110
type	1109
alone	1104
family	1101
Hye	1099
5	1095
video	1093
talking	1093
His	1092
Won	1088
course	1081
start	1079
wish	1076
career	1075
entire	1073
star	1072
attention	1066
dramas	1060
People	1059
variety	1055
guys	1053
plastic	1047
popularity	1041
crazy	1039
took	1039
singers	1038
couple	1035
taking	1035
movie	1032
rumors	1031
support	1029
thinking	1028
Well	1026
hair	1023
working	1022
knows	1019
wanted	1019
soon	1017
mean	1016
relationship	1012
artists	1012
knew	1011
came	1010
obviously	1004
become	1002
Seolhyun	1002
Kang	1001
solo	1001
lost	1000
Looks	998
skills	994
sing	992
level	991
try	991
line	984
girls	984
parents	981
talented	974
obvious	972
Ah	971
episode	970
Tae	963
started	963
Oh	962
far	962
happened	961
award	960
themselves	957
between	957
seen	956
fact	953
job	946
basically	946
times	944
China	944
eyes	944
heard	942
style	939
ara	934
coming	932
date	932
wants	929
change	929
release	929
stars	927
Let	925
Sung	924
My	922
Hyuna	921
couldn	921
heart	920
news	917
cast	917
fighting	917
little	916
funny	915
comes	915
himself	915
especially	914
known	912
putting	910
talk	910
dance	907
title	905
sad	899
army	899
prettier	895
stuff	894
Shin	893
lately	889
second	886
Seung	883
Ho	881
huge	880
cool	873
stupid	868
problem	866
listen	866
break	863
wearing	861
actor	858
actors	854
kind	853
concert	851
joke	848
CEO	847
friends	847
character	844
using	841
head	838
Yeah	838
match	837
asked	837
promote	835
Congratulations	833
Han	827
4	824
mother	823
GD	823
against	818
Honestly	817
Yeon	815
during	813
quite	812
Woo	811
Dong	810
fine	806
felt	805
Japanese	797
B	795
Yoon	793
realize	791
f	790
Seo	789
gave	785
Girl	784
called	777
actress	776
help	774
Pink	773
whether	773
totally	772
Are	770
At	769
father	765
Yang	765
expect	764
Taeyeon	763
lead	762
close	761
Japan	759
Seems	756
Isn	756
Jae	755
kept	754
caught	753
others	753
released	752
part	752
leaving	751
stay	750
Jang	747
Did	747
hasn	745
calling	745
read	743
important	738
Bin	738
lyrics	735
Go	734
team	732
barely	729
lives	728
ones	727
means	723
feeling	720
America	719
100	719
2NE1	718
scandals	716
home	715
finally	715
Jessica	714
Look	713
rookie	710
ugly	709
voice	709
stick	709
skin	708
shouldn	708
guy	707
jealous	707
KARA	706
beautiful	705
super	705
special	702
admit	702
surprised	700
gotten	700
goes	699
digital	696
liked	693
might	693
words	693
place	692
scene	690
imagine	689
wait	687
worked	687
very	686
ah	682
hear	681
sick	681
For	680
lose	679
power	679
Does	675
x	675
debuted	674
child	674
B2ST	674
week	672
found	671
trash	665
role	664
Man	664
tried	663
Pop	661
Twice	660
older	660
issue	659
pay	659
okay	656
whatever	655
rather	654
innocent	654
promoting	654
Girls	652
miss	651
SISTAR	650
strength	646
girlfriend	645
Joon	644
Everyone	644
short	643
average	643
turn	640
completely	640
Now	639
beauty	637
cut	632
000	628
K	626
service	624
Good	624
future	623
SNS	622
ago	622
Jong	621
case	621
considering	619
concepts	619
easy	619
living	619
After	618
side	616
idea	614
glad	613
gone	612
sense	612
sounds	612
feels	611
Joo	611
6	611
later	610
sexual	609
fit	608
hurt	608
Koreans	608
Maybe	606
worse	606
business	604
visuals	602
Star	601
charts	599
may	599
taken	598
quiet	596
7	594
Psy	593
SHINee	591
changed	590
happen	588
friend	587
mess	584
buy	583
paid	582
Yoona	582
faces	582
thin	581
viewer	581
showing	580
difference	580
deal	577
journalist	574
Eun	573
Bom	573
bring	573
ending	573
thinks	572
Joong	571
giving	570
behind	568
works	568
ya	568
Hani	568
broke	567
legs	566
Then	564
vocal	564
Jo	563
viewers	562
famous	562
considered	561
Really	559
focus	558
One	557
fast	557
stand	557
yourself	557
supporting	555
staff	553
cares	553
full	552
waiting	552
asking	551
compared	550
worth	550
situation	546
doubt	546
journalists	546
boyfriend	546
turned	545
sex	545
awkward	545
controversy	544
late	544
AOA	544
sorry	541
run	541
CL	541
Day	541
Winner	539
personality	539
8	539
car	538
given	538
baby	536
daughter	536
strong	535
expected	535
Soshi	534
sound	532
night	531
G	531
respect	530
clothes	530
myself	530
20	529
Love	528
fangirls	527
set	526
fandom	525
Goo	525
charming	524
decision	521
Dispatch	520
Rain	519
Such	519
usually	519
takes	516
reality	516
pathetic	515
Krystal	513
eat	513
Hyo	513
poor	512
agencies	512
winning	510
To	509
son	508
college	508
says	508
nose	507
Hyorin	506
hateful	504
beat	504
similar	503
students	503
post	503
quality	503
overseas	501
playing	501
younger	500
Stop	499
ask	498
embarrassing	498
four	497
Amazing	497
perfect	496
Looking	495
million	493
American	492
facial	492
Hyeri	492
crying	491
haven	491
success	490
months	490
artist	489
companies	487
embarrassed	487
difficult	486
along	486
contract	484
request	484
class	484
netizens	482
Byung	482
Hara	481
Wonder	481
Didn	481
front	481
ssi	481
wedding	480
private	480
natural	479
ended	478
half	478
personally	478
less	477
apology	477
ridiculous	476
hated	475
write	475
mouth	474
Of	474
Hong	474
told	473
congratulations	472
INFINITE	472
born	472
actual	472
dress	472
wife	471
fault	469
♥	469
running	469
wear	468
learn	467
Cube	466
meet	465
producers	465
Ki	465
pull	464
marriage	464
trainees	464
etc	462
camera	460
Pretty	460
continue	460
careful	460
list	459
am	459
Fighting	459
busy	459
albums	459
deserve	458
ratings	456
performance	456
perform	456
roles	456
WGM	455
hilarious	455
throw	454
fame	454
mistake	454
often	454
ㅜ	453
talks	452
early	452
children	452
straight	451
Kyung	450
pissed	450
luck	449
issues	449
reading	448
scared	448
talents	448
Zico	448
dumb	447
history	447
tired	447
dirty	446
unni	446
longer	446
Hun	445
forced	445
positive	444
boring	444
points	443
Choi	443
These	442
Reader	442
TVXQ	441
names	441
Tiffany	441
original	440
trust	439
watched	436
yesterday	436
fake	435
apologize	435
its	435
house	435
dancing	435
free	435
bigger	434
main	434
crime	432
foreign	431
wrote	430
b	429
forget	429
30	428
word	428
itself	428
shame	427
single	427
awards	425
Girlfriend	425
Imagine	424
cry	424
normal	424
clearly	423
truly	422
story	418
white	417
maybe	416
hand	415
9	415
FNC	415
CF	415
comment	413
From	413
weren	413
MC	412
pick	411
blame	411
room	410
successful	410
worst	410
worried	410
Choiza	410
holding	410
Ha	410
chance	409
victim	409
track	408
junior	408
laugh	407
TOP	407
scary	406
treatment	405
upset	405
plot	404
waste	404
husband	403
starting	403
Super	403
human	403
manager	403
oppa	402
Red	402
2PM	401
mad	401
proud	398
knowing	398
interview	398
Son	397
iKON	396
gain	396
Doesn	394
middle	393
chest	393
ㅎ	392
non	391
Kwang	391
eye	390
Junior	390
promotions	389
Should	388
hyung	387
crap	387
personal	385
Instagram	385
Hyosung	385
Daebak	385
replies	383
whole	383
curious	383
truth	383
nowadays	383
exactly	383
Nam	382
possible	381
Im	380
charms	379
Anyone	379
votes	378
supposed	378
unique	377
Because	377
consider	377
mom	376
manage	374
moment	374
follow	374
revealed	374
listening	374
Hyori	373
Sigh	373
meant	372
month	371
color	370
Kwon	370
double	369
hold	367
daesang	367
EXID	367
PD	366
police	366
With	366
small	364
scriptwriter	364
Taeyang	364
Geun	363
writing	363
agree	362
Your	362
lawsuit	361
shot	361
stuck	359
seemed	359
tons	358
outfits	358
random	358
hating	358
fashion	357
dare	357
Velvet	355
opportunity	355
fat	354
ruined	353
Finally	353
honest	352
promos	352
society	352
4minute	351
actions	351
written	350
Music	349
Hi	349
interest	348
keeps	348
low	348
rap	348
English	347
accident	347
whenever	347
Minho	346
bodies	346
expression	346
gives	345
lie	344
food	343
model	343
potential	343
attitude	343
harder	342
casting	341
student	340
minute	338
likes	337
grateful	336
terms	335
Since	335
hip	335
Me	334
Fans	334
income	334
acts	334
recently	333
scenes	333
mind	333
First	333
shield	332
season	332
chose	331
Shinhwa	331
hearing	331
uncomfortable	331
noticed	330
eating	329
attend	329
Thank	328
law	328
director	327
Gangnam	327
rookies	326
experience	325
jjang	325
version	325
cheap	325
air	324
failed	323
quit	323
outside	323
WG	322
trend	322
Block	322
open	322
IOI	322
became	322
photos	321
damn	321
hop	321
On	320
nobody	320
Victoria	320
grow	320
death	320
towards	319
Sorry	319
Both	319
smile	319
telling	318
sister	318
kill	318
unit	317
senior	317
Or	316
fall	316
rich	315
receive	315
deserves	314
BoA	314
Guk	314
event	314
releasing	313
ceremony	312
training	312
brought	311
despite	310
Sun	310
worry	310
An	310
none	309
bother	309
Seoul	309
market	309
foreigners	308
excuse	308
hopeless	308
tch	307
physical	307
feelings	307
